DateTime,wind_eastcentral,wind_west,wind_south
2024-01-06T13:00:00.0,298.7,2171.6,0.0
2024-01-06T14:00:00.0,196.0,2732.4,0.0
2024-01-06T15:00:00.0,199.8,3348.0,0.0
2024-01-06T16:00:00.0,239.1,3748.6,0.0
2024-01-06T17:00:00.0,281.1,3808.2,0.0
2024-01-06T18:00:00.0,326.0,4201.9,0.0
2024-01-06T19:00:00.0,364.8,4721.2,0.0
2024-01-06T20:00:00.0,417.7,5461.1,0.0
2024-01-06T21:00:00.0,530.0,6202.0,0.0
2024-01-06T22:00:00.0,673.0,6374.1,0.0
2024-01-06T23:00:00.0,762.5,5922.9,0.0
2024-01-07T00:00:00.0,787.9,5947.2,0.0
2024-01-07T01:00:00.0,962.1,6078.4,0.0
2024-01-07T02:00:00.0,1113.7,6108.0,0.0
2024-01-07T03:00:00.0,1236.2,6401.4,0.0
2024-01-07T04:00:00.0,1420.2,6570.1,0.0
2024-01-07T05:00:00.0,1558.1,6593.0,0.0
2024-01-07T06:00:00.0,1647.6,5997.3,0.0
2024-01-07T07:00:00.0,1639.6,5309.8,0.0
2024-01-07T08:00:00.0,1678.0,3814.5,0.0
2024-01-07T09:00:00.0,1584.1,2530.5,0.0
2024-01-07T10:00:00.0,1436.2,1745.5,0.0
2024-01-07T11:00:00.0,1346.7,1576.4,0.0
2024-01-07T12:00:00.0,1510.9,1571.4,0.0
2024-01-07T13:00:00.0,1711.9,1402.2,0.0
2024-01-07T14:00:00.0,1772.5,1033.7,0.0
2024-01-07T15:00:00.0,1882.1,405.5,0.0
2024-01-07T16:00:00.0,1880.7,316.3,0.0
2024-01-07T17:00:00.0,1650.1,710.0,0.0
2024-01-07T18:00:00.0,1303.7,1369.5,0.0
2024-01-07T19:00:00.0,880.1,2081.4,0.0
2024-01-07T20:00:00.0,984.7,2768.9,0.0
2024-01-07T21:00:00.0,1019.8,3563.6,0.0
2024-01-07T22:00:00.0,953.6,4777.8,0.0
2024-01-07T23:00:00.0,1053.0,5016.0,0.0
