interval_start_est,interval_end_est,node,lmp
2016-01-01T16:00:00.0,2016-01-01T17:00:00.0,MICHIGAN.HUB,23.21
2016-01-01T16:00:00.0,2016-01-01T17:00:00.0,MINN.HUB,17.99
2016-01-01T16:00:00.0,2016-01-01T17:00:00.0,TEXAS.HUB,21.5
2016-01-01T17:00:00.0,2016-01-01T18:00:00.0,ARKANSAS.HUB,24.01
2016-01-01T17:00:00.0,2016-01-01T18:00:00.0,ILLINOIS.HUB,27.75
2016-01-01T17:00:00.0,2016-01-01T18:00:00.0,INDIANA.HUB,27.19
2016-01-01T17:00:00.0,2016-01-01T18:00:00.0,LOUISIANA.HUB,24.25
2016-01-01T17:00:00.0,2016-01-01T18:00:00.0,MICHIGAN.HUB,28.13
2016-01-01T17:00:00.0,2016-01-01T18:00:00.0,MINN.HUB,20.77
2016-01-01T17:00:00.0,2016-01-01T18:00:00.0,TEXAS.HUB,24.37
2016-01-01T18:00:00.0,2016-01-01T19:00:00.0,ARKANSAS.HUB,24.58
2016-01-01T18:00:00.0,2016-01-01T19:00:00.0,ILLINOIS.HUB,27.49
2016-01-01T18:00:00.0,2016-01-01T19:00:00.0,INDIANA.HUB,26.82
2016-01-01T18:00:00.0,2016-01-01T19:00:00.0,LOUISIANA.HUB,24.38
2016-01-01T18:00:00.0,2016-01-01T19:00:00.0,MICHIGAN.HUB,26.96
2016-01-01T18:00:00.0,2016-01-01T19:00:00.0,MINN.HUB,22.55
2016-01-01T18:00:00.0,2016-01-01T19:00:00.0,TEXAS.HUB,24.51
2016-01-01T19:00:00.0,2016-01-01T20:00:00.0,ARKANSAS.HUB,24.86
2016-01-01T19:00:00.0,2016-01-01T20:00:00.0,ILLINOIS.HUB,26.15
2016-01-01T19:00:00.0,2016-01-01T20:00:00.0,INDIANA.HUB,25.68
2016-01-01T19:00:00.0,2016-01-01T20:00:00.0,LOUISIANA.HUB,24.73
2016-01-01T19:00:00.0,2016-01-01T20:00:00.0,MICHIGAN.HUB,25.96
2016-01-01T19:00:00.0,2016-01-01T20:00:00.0,MINN.HUB,21.64
2016-01-01T19:00:00.0,2016-01-01T20:00:00.0,TEXAS.HUB,24.61
2016-01-01T20:00:00.0,2016-01-01T21:00:00.0,ARKANSAS.HUB,25.24
2016-01-01T20:00:00.0,2016-01-01T21:00:00.0,ILLINOIS.HUB,25.67
2016-01-01T20:00:00.0,2016-01-01T21:00:00.0,INDIANA.HUB,25.16
2016-01-01T20:00:00.0,2016-01-01T21:00:00.0,LOUISIANA.HUB,25.0
2016-01-01T20:00:00.0,2016-01-01T21:00:00.0,MICHIGAN.HUB,25.7
2016-01-01T20:00:00.0,2016-01-01T21:00:00.0,MINN.HUB,21.22
2016-01-01T20:00:00.0,2016-01-01T21:00:00.0,TEXAS.HUB,24.84
2016-01-01T21:00:00.0,2016-01-01T22:00:00.0,ARKANSAS.HUB,24.23
2016-01-01T21:00:00.0,2016-01-01T22:00:00.0,ILLINOIS.HUB,23.32
2016-01-01T21:00:00.0,2016-01-01T22:00:00.0,INDIANA.HUB,22.98
2016-01-01T21:00:00.0,2016-01-01T22:00:00.0,LOUISIANA.HUB,24.32
2016-01-01T21:00:00.0,2016-01-01T22:00:00.0,MICHIGAN.HUB,24.47
2016-01-01T21:00:00.0,2016-01-01T22:00:00.0,MINN.HUB,19.82
2016-01-01T21:00:00.0,2016-01-01T22:00:00.0,TEXAS.HUB,23.87
2016-01-01T22:00:00.0,2016-01-01T23:00:00.0,ARKANSAS.HUB,22.9
2016-01-01T22:00:00.0,2016-01-01T23:00:00.0,ILLINOIS.HUB,23.21
2016-01-01T22:00:00.0,2016-01-01T23:00:00.0,INDIANA.HUB,22.4
2016-01-01T22:00:00.0,2016-01-01T23:00:00.0,LOUISIANA.HUB,22.72
2016-01-01T22:00:00.0,2016-01-01T23:00:00.0,MICHIGAN.HUB,22.95
2016-01-01T22:00:00.0,2016-01-01T23:00:00.0,MINN.HUB,19.51
2016-01-01T22:00:00.0,2016-01-01T23:00:00.0,TEXAS.HUB,22.31
2016-01-01T23:00:00.0,2016-01-02T00:00:00.0,ARKANSAS.HUB,22.16
2016-01-01T23:00:00.0,2016-01-02T00:00:00.0,ILLINOIS.HUB,21.0
2016-01-01T23:00:00.0,2016-01-02T00:00:00.0,INDIANA.HUB,21.79
