interval_start_est,interval_end_est,node,lmp
2023-01-25T00:00:00.0,2023-01-25T01:00:00.0,NSP.PVALEY.WND,30.15
2023-01-26T00:00:00.0,2023-01-26T01:00:00.0,GRE.ALTW,6.39
2023-01-26T00:00:00.0,2023-01-26T01:00:00.0,MINN.HUB,24.0
2023-01-26T00:00:00.0,2023-01-26T01:00:00.0,NSP.NOBLES.WND,4.22
2023-01-26T00:00:00.0,2023-01-26T01:00:00.0,NSP.PVALEY.WND,17.53
2023-01-27T00:00:00.0,2023-01-27T01:00:00.0,GRE.ALTW,-0.06
2023-01-27T00:00:00.0,2023-01-27T01:00:00.0,MINN.HUB,9.67
2023-01-27T00:00:00.0,2023-01-27T01:00:00.0,NSP.NOBLES.WND,-3.25
2023-01-27T00:00:00.0,2023-01-27T01:00:00.0,NSP.PVALEY.WND,13.85
2023-01-28T00:00:00.0,2023-01-28T01:00:00.0,GRE.ALTW,29.45
2023-01-28T00:00:00.0,2023-01-28T01:00:00.0,MINN.HUB,29.93
2023-01-28T00:00:00.0,2023-01-28T01:00:00.0,NSP.NOBLES.WND,28.69
2023-01-28T00:00:00.0,2023-01-28T01:00:00.0,NSP.PVALEY.WND,28.77
2023-01-29T00:00:00.0,2023-01-29T01:00:00.0,GRE.ALTW,12.67
2023-01-29T00:00:00.0,2023-01-29T01:00:00.0,MINN.HUB,21.13
2023-01-29T00:00:00.0,2023-01-29T01:00:00.0,NSP.NOBLES.WND,11.02
2023-01-29T00:00:00.0,2023-01-29T01:00:00.0,NSP.PVALEY.WND,22.4
2023-01-30T00:00:00.0,2023-01-30T01:00:00.0,GRE.ALTW,23.63
2023-01-30T00:00:00.0,2023-01-30T01:00:00.0,MINN.HUB,24.19
2023-01-30T00:00:00.0,2023-01-30T01:00:00.0,NSP.NOBLES.WND,22.85
2023-01-30T00:00:00.0,2023-01-30T01:00:00.0,NSP.PVALEY.WND,23.72
2023-01-31T00:00:00.0,2023-01-31T01:00:00.0,GRE.ALTW,28.81
2023-01-31T00:00:00.0,2023-01-31T01:00:00.0,MINN.HUB,28.18
2023-01-31T00:00:00.0,2023-01-31T01:00:00.0,NSP.NOBLES.WND,1.97
2023-01-31T00:00:00.0,2023-01-31T01:00:00.0,NSP.PVALEY.WND,30.47
2023-02-01T00:00:00.0,2023-02-01T01:00:00.0,GRE.ALTW,6.84
2023-02-01T00:00:00.0,2023-02-01T01:00:00.0,MINN.HUB,24.57
2023-02-01T00:00:00.0,2023-02-01T01:00:00.0,NSP.NOBLES.WND,4.33
2023-02-01T00:00:00.0,2023-02-01T01:00:00.0,NSP.PVALEY.WND,14.12
2023-02-02T00:00:00.0,2023-02-02T01:00:00.0,GRE.ALTW,15.57
2023-02-02T00:00:00.0,2023-02-02T01:00:00.0,MINN.HUB,21.05
2023-02-02T00:00:00.0,2023-02-02T01:00:00.0,NSP.NOBLES.WND,12.51
2023-02-02T00:00:00.0,2023-02-02T01:00:00.0,NSP.PVALEY.WND,19.32
2023-02-03T00:00:00.0,2023-02-03T01:00:00.0,GRE.ALTW,28.11
2023-02-03T00:00:00.0,2023-02-03T01:00:00.0,MINN.HUB,31.42
2023-02-03T00:00:00.0,2023-02-03T01:00:00.0,NSP.NOBLES.WND,27.92
2023-02-03T00:00:00.0,2023-02-03T01:00:00.0,NSP.PVALEY.WND,28.44
2023-02-04T00:00:00.0,2023-02-04T01:00:00.0,GRE.ALTW,1.04
2023-02-04T00:00:00.0,2023-02-04T01:00:00.0,MINN.HUB,22.57
