technology,year,power_mw,duration,estimate_type,parameter_category,parameter,value
CAES,2023,100,100,High,LCOS,LCOS_Project_Life (yrs),60
CAES,2023,100,100,High,LCOS,LCOS ($/kWh),0.1569
CAES,2023,100,100,Low,Capital Cost,"CAES Capital (Turbine, Compressor, BOP, & EPC Management) ($/kW)",943.32
CAES,2023,100,100,Low,Capital Cost,Cavern Storage ($/kWh),2.47
CAES,2023,100,100,Low,O&M Cost,Fixed O&M ($/kW-year),14.85
CAES,2023,100,100,Low,Performance,Rest Before Charge (hrs),0
CAES,2023,100,100,Low,Performance,Rest After Discharge (hrs),0
CAES,2023,100,100,Low,Performance,RTE (%),0.65
CAES,2023,100,100,Low,Performance,Calendar Life (yrs),60
CAES,2023,100,100,Low,Performance,Primary DOD (%),0.8
CAES,2023,100,100,Low,Capital Cost,Total Installed Cost ($),119032000
CAES,2023,100,100,Low,Capital Cost,Total Installed Cost ($/kW),1190.32
CAES,2023,100,100,Low,Capital Cost,Total Installed Cost ($/kWh),11.9
CAES,2023,100,100,Low,LCOS,LCOS_Project_Life (yrs),60
CAES,2023,100,100,Low,LCOS,LCOS ($/kWh),0.0857
CAES,2023,100,100,Point,Capital Cost,"CAES Capital (Turbine, Compressor, BOP, & EPC Management) ($/kW)",1048.13
CAES,2023,100,100,Point,Capital Cost,Cavern Storage ($/kWh),5.89
CAES,2023,100,100,Point,O&M Cost,Fixed O&M ($/kW-year),16.5
CAES,2023,100,100,Point,Performance,Rest Before Charge (hrs),0
CAES,2023,100,100,Point,Performance,Rest After Discharge (hrs),0
CAES,2023,100,100,Point,Performance,RTE (%),0.55
CAES,2023,100,100,Point,Performance,Calendar Life (yrs),60
CAES,2023,100,100,Point,Performance,Primary DOD (%),0.8
CAES,2023,100,100,Point,Capital Cost,Total Installed Cost ($),163713000
CAES,2023,100,100,Point,Capital Cost,Total Installed Cost ($/kW),1637.13
CAES,2023,100,100,Point,Capital Cost,Total Installed Cost ($/kWh),16.37
CAES,2023,100,100,Point,LCOS,LCOS_Project_Life (yrs),60
CAES,2023,100,100,Point,LCOS,LCOS ($/kWh),0.1131
CAES,2023,1000,4,High,Capital Cost,"CAES Capital (Turbine, Compressor, BOP, & EPC Management) ($/kW)",1064.59
CAES,2023,1000,4,High,Capital Cost,Cavern Storage ($/kWh),16.48
CAES,2023,1000,4,High,O&M Cost,Fixed O&M ($/kW-year),10.28
CAES,2023,1000,4,High,Performance,Rest Before Charge (hrs),0
CAES,2023,1000,4,High,Performance,Rest After Discharge (hrs),0
